redirect.product.overview,confirm.artists.overview,redirect.product,redirect.product.of.artist,redirect.shirts,redirect.music,redirect.album,redirect.shirt.size,redirect.my.order,redirect.my.order.status,redirect.my.order.canceled,redirect.shipping.info,redirect.refund.info,redirect.swapping.info,redirect.order.process,confirm.proceed.order,decline.proceed.order,redirect.home,redirect.end
"""Which products do you sell?","""Yeah let me buy merchandise","""Tour movie","""Yeah let's shop","""Shirts","""Music","""Hits","""XS","""About my order","""My order is ABCD123 what is the status?","""I want to cancel my order","""How long will it take?","""I want a refund.","""I want to swap my item","""I want to buy a t-shirt of the Google Dolls size S","""Yes","""No","""Go back","""No that's it goodbye"
What merchandise items do you have?,Yes I want to purchase something,I am interested in a t-shirt,Give me merch of Alice Googler,I want to buy shirts,I want to buy music,Live Album,I have M,I have a question about my order,What is the status of my order?,I want to cancel order ABCD123,How long is shipping?,Can I get a refund,Can I change my t-shirt for a larger size?,Let me buy the digital CD of Alice Googler,Yes please continue,I rather not,Home,Bye
What are you selling?,Yes I would like to order merchandise from Alice Googler,Can I buy a digital album?,Shirts of The Google Dolls that would be nice.,I am interested in shirts,I am interested in music,I want the Greatest Hits Digital Album,I want Large,"My order is ABCD123 I have a question about my order.""",What my order status?,Please cancel order ABCD123,How long does shipping take?,I want to return the CD,Can I change my product?,Get me the tour movie of G's N' Roses,Yes order,I don't want it anymore,Help,Cheers
What are the items?,"Ok let's buy stuff.""",I want the CD,Yes,I want a shirt,Give me music of the Goo Fighters,Give me the Greatest Hits CD,My size is 3XL,,"When will I receive my item?""",Undo my order,"When will I receive it?""","I want to return my t-shirt""","I want to swap the CD""",Buy a longsleeve shirt of The Goo Fighters,I want to order,Don't order,What else can I ask,End
Which products? What merchandise?,,I want to buy something,I want The Goo Fighters stuff,Shirts of G's N' Roses please,Music of Goo Fighters please,"Hits on MP3""","Extra Large is the size""",,,Stop my order,,,,Purchase the Alice Googler t-shirt,Yeah,Stop,Restart,That's it
"Please tell me what you have""",,Can I purchase a record?,Yes I want to order merchandise,Give me shirts of the Google Dolls,Interested in buying the Alice Googler album,,,,,"Cancel""",,,,"Please order me the Google Dolls CD""",Yep,Not anymore,Can you tell me what I can order?,No more questions
,,I want to buy a t-shirt size M of The Google Dolls,Yep give me items of G's N' Roses,"I want to buy shirts of Alice Googler""","Purchase Alice Googler music""",,,,,,,,,,I confirm,Nope,What questions can I ask,Exit
,,"Can I purchase the Alice Googler digital album?""",Go for it,,,,,,,,,,,,Agree,Go back,I need help,Have a good day
,,,Anything Alice Googler,,,,,,,,,,,,Go ahead,Reset,Advice please,End Call
,,,I am a G's N' Roses fan!,,,,,,,,,,,,Order,Decline,Hi,"Close"""
,,,Google Dolls,,,,,,,,,,,,Buy it,"I don't need it""",Hello,
,,,"Yes of The Google Dolls""",,,,,,,,,,,,Purchase,,"Good day!""",
,,,,,,,,,,,,,,,"Okay""",,,